thickness_mm,length_m,width_m,number_of_sheets,total_weight_kg,casting_electricity_kwh,casting_carbon_kgco2e,casting_naturalgas_nm3,casting_wastewater_l,hotrolling_electricity_kwh,hotrolling_carbon_kgco2e,hotrolling_naturalgas_nm3,hotrolling_wastewater_l,coldrolling_electricity_kwh,coldrolling_carbon_kgco2e,coldrolling_naturalgas_nm3,coldrolling_wastewater_l,heattreatment_electricity_kwh,heattreatment_carbon_kgco2e,heattreatment_naturalgas_nm3,heattreatment_wastewater_l,finishing_electricity_kwh,finishing_carbon_kgco2e,finishing_naturalgas_nm3,finishing_wastewater_l,total_electricity_kwh,total_carbon_kgco2e,total_naturalgas_nm3,total_wastewater_l,manufacturing_cost_per_unit,quality_score,transport_cost,product_type,route_type,energy_source,grade,source_name,outer_radius_m,inner_radius_m,volume_m3,weight_kg,electricity_kwh,carbon_kgco2e,natural_gas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_usd,distance_km,price_per_kg_usd,electricity_price_usd_per_kwh,scrap_input_kg,scrap_quality_pct,crushing__electricity_kwh,crushing__carbon_kgco2e,crushing__naturalgas_nm3,crushing__wastewater_l,crushing__liquidfuel_l,crushing__fluorine_g,crushing__so2_g,furnace_melting__electricity_kwh,furnace_melting__carbon_kgco2e,furnace_melting__naturalgas_nm3,furnace_melting__wastewater_l,furnace_melting__liquidfuel_l,furnace_melting__fluorine_g,furnace_melting__so2_g,separation__electricity_kwh,separation__carbon_kgco2e,separation__naturalgas_nm3,separation__wastewater_l,separation__liquidfuel_l,separation__fluorine_g,separation__so2_g,final_casting__electricity_kwh,final_casting__carbon_kgco2e,final_casting__naturalgas_nm3,final_casting__wastewater_l,final_casting__liquidfuel_l,final_casting__fluorine_g,final_casting__so2_g,total__electricity_kwh,total__carbon_kgco2e,total__naturalgas_nm3,total__wastewater_l,total__liquidfuel_l,total__fluorine_g,total__so2_g,prep_of_mining__electricity_kwh,prep_of_mining__carbon_kgco2e,prep_of_mining__naturalgas_nm3,prep_of_mining__wastewater_l,prep_of_mining__liquidfuel_l,prep_of_mining__fluorine_g,prep_of_mining__so2_g,actual_mining__electricity_kwh,actual_mining__carbon_kgco2e,actual_mining__naturalgas_nm3,actual_mining__wastewater_l,actual_mining__liquidfuel_l,actual_mining__fluorine_g,actual_mining__so2_g,grinding__electricity_kwh,grinding__carbon_kgco2e,grinding__naturalgas_nm3,grinding__wastewater_l,grinding__liquidfuel_l,grinding__fluorine_g,grinding__so2_g,pressure_digestion__electricity_kwh,pressure_digestion__carbon_kgco2e,pressure_digestion__naturalgas_nm3,pressure_digestion__wastewater_l,pressure_digestion__liquidfuel_l,pressure_digestion__fluorine_g,pressure_digestion__so2_g,clarification__electricity_kwh,clarification__carbon_kgco2e,clarification__naturalgas_nm3,clarification__wastewater_l,clarification__liquidfuel_l,clarification__fluorine_g,clarification__so2_g,precipitation__electricity_kwh,precipitation__carbon_kgco2e,precipitation__naturalgas_nm3,precipitation__wastewater_l,precipitation__liquidfuel_l,precipitation__fluorine_g,precipitation__so2_g,seed_separation__electricity_kwh,seed_separation__carbon_kgco2e,seed_separation__naturalgas_nm3,seed_separation__wastewater_l,seed_separation__liquidfuel_l,seed_separation__fluorine_g,seed_separation__so2_g,washing_filtering_1__electricity_kwh,washing_filtering_1__carbon_kgco2e,washing_filtering_1__naturalgas_nm3,washing_filtering_1__wastewater_l,washing_filtering_1__liquidfuel_l,washing_filtering_1__fluorine_g,washing_filtering_1__so2_g,washing_filtering_2__electricity_kwh,washing_filtering_2__carbon_kgco2e,washing_filtering_2__naturalgas_nm3,washing_filtering_2__wastewater_l,washing_filtering_2__liquidfuel_l,washing_filtering_2__fluorine_g,washing_filtering_2__so2_g,calcination__electricity_kwh,calcination__carbon_kgco2e,calcination__naturalgas_nm3,calcination__wastewater_l,calcination__liquidfuel_l,calcination__fluorine_g,calcination__so2_g
8.64,4.29,0.91,4.0,363.37,1141.852,23.4425,78.907,2115.05,800.437,22.2228,41.543,1226.28,429.475,16.6762,15.685,1061.9,699.22,16.7224,116.571,473.23,184.994,4.0493,13.561,220.49,3255.978,83.1133,266.268,5096.93,1098.56,93.4,55.35,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.24,2.41,0.8,35.0,1491.77,4667.675,175.2686,368.489,8071.16,2979.705,70.1685,186.563,6594.39,2227.746,62.9391,63.133,3808.24,2196.85,84.8317,831.699,3411.66,1305.952,45.827,21.071,2765.49,13377.928,439.0348,1470.957,24650.94,4704.57,93.3,271.51,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.01,2.95,0.53,45.0,1699.42,4403.69,116.197,492.854,9944.72,3741.119,122.0979,161.181,4893.71,1750.516,58.5554,110.705,4389.88,3112.822,67.9346,761.895,1992.87,1316.652,37.9599,77.338,1744.24,14324.799,402.7448,1603.972,22965.42,4897.64,86.4,384.33,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.37,1.51,0.71,35.0,644.04,1656.973,60.3755,155.375,2089.31,1197.527,47.5811,56.307,2004.22,881.671,34.3366,50.983,1614.46,966.715,20.9487,343.368,1722.96,458.631,17.4863,9.305,797.93,5161.517,180.7282,615.338,8228.88,1808.44,89.7,100.23,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.63,1.59,2.12,37.0,548.44,1691.047,66.3625,95.963,2115.41,1320.657,32.319,80.249,1116.88,811.098,16.9221,40.293,1127.27,1093.796,23.4903,255.659,2143.26,417.665,13.6109,20.748,648.15,5334.264,152.7048,492.912,7150.97,1776.56,90.8,131.69,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.93,2.4,2.88,44.0,765.57,2262.771,73.3198,119.028,2728.78,1626.528,44.0253,82.962,1709.68,1134.637,45.0726,47.381,1586.41,1108.26,40.2031,386.935,1139.06,731.477,26.6629,36.741,1216.17,6863.673,229.2837,673.048,8380.11,2472.33,89.2,186.24,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.73,1.23,0.57,19.0,310.66,1028.466,40.8769,40.412,1485.71,642.023,25.2946,41.695,1402.64,350.454,9.9166,11.309,345.69,587.705,21.309,186.371,1239.52,241.607,8.548,14.847,551.26,2850.255,105.9451,294.634,5024.82,923.64,89.5,50.61,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.56,4.03,1.07,33.0,3680.68,11476.845,311.7485,451.662,18457.6,7965.793,282.3584,375.49,16771.2,4366.524,136.3175,267.215,6650.87,4811.435,98.9984,1938.032,10530.17,3136.09,76.0793,56.884,1920.64,31756.687,905.5021,3089.283,54330.49,11209.2,90.9,696.48,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.66,5.52,1.37,26.0,2473.29,8121.438,226.8387,555.05,13818.52,6095.839,139.8475,352.837,8598.03,2425.735,70.7895,194.9,4910.07,3618.432,118.207,920.173,3036.19,1396.025,31.4956,39.761,1751.69,21657.468,587.1783,2062.721,32114.5,8034.77,86.8,456.49,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.02,3.37,2.17,9.0,1601.89,4312.742,89.78,214.312,6144.47,3081.882,67.1051,99.419,5418.12,1512.876,41.2794,80.423,3813.76,1972.643,70.9919,782.314,1994.79,1500.63,57.6504,19.932,1466.23,12380.773,326.8067,1196.399,18837.37,5389.29,92.5,269.84,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.49,2.85,1.71,31.0,1016.84,2917.216,85.3306,253.695,3162.41,2009.987,68.8762,141.87,3594.55,1192.22,26.3999,47.633,2100.01,1417.446,35.9817,420.142,1078.06,672.169,16.286,23.489,691.09,8209.038,232.8743,886.829,10626.12,3481.01,90.9,221.58,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,3.49,0.72,27.0,1460.37,4507.934,157.3665,272.114,4940.06,2918.761,79.5702,167.346,5421.39,1532.32,60.8796,82.287,2153.25,1871.358,43.1482,545.868,2164.33,866.414,22.2685,24.731,2694.6,11696.787,363.233,1092.347,17373.63,4171.06,90.2,278.99,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.83,1.56,1.49,48.0,2971.59,10000.894,363.4469,450.435,10438.18,6739.706,260.0685,314.026,11038.96,2959.656,104.7418,92.781,4895.27,4577.28,138.0151,1107.578,3995.33,2393.048,61.6751,98.804,2173.85,26670.584,927.9474,2063.624,32541.58,9321.26,90.3,461.14,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7,1.67,0.66,49.0,538.6,1520.119,55.0245,81.29,2716.97,1256.1,40.0857,52.329,1742.65,562.41,21.7037,37.614,1578.13,699.877,24.2279,313.197,831.44,287.207,10.0013,17.762,949.41,4325.714,151.043,502.193,7818.6,1560.78,93.0,91.65,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,1.82,2.54,33.0,845.76,2556.777,69.4845,232.955,3533.01,2005.812,57.7327,74.168,2865.46,855.03,29.8852,42.426,1238.55,1623.564,44.9367,391.641,3145.72,686.855,15.3429,40.252,1219.21,7728.037,217.382,781.442,12001.94,2566.39,86.4,194.02,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.39,3.67,2.73,39.0,6748.98,17896.094,469.494,1010.307,35309.56,12306.576,386.3993,852.031,31249.77,7015.273,255.5324,179.779,18174.35,8787.107,245.5623,3638.972,9784.35,4148.095,142.8813,261.87,9865.13,50153.146,1499.8693,5942.958,104383.15,22175.55,90.4,1182.29,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.78,1.91,2.77,29.0,1566.6,4544.471,132.8809,453.463,5420.52,3462.749,104.2903,174.12,3218.31,2209.667,85.3868,84.452,3749.34,3036.068,103.6659,541.67,4275.04,1258.539,35.8465,61.815,2978.97,14511.494,462.0703,1315.519,19642.18,5401.47,89.5,252.73,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.86,5.19,0.81,46.0,5161.04,17392.171,528.3178,1126.423,21660.93,9487.711,253.3593,672.408,10393.8,5333.674,149.1475,269.632,14655.86,7623.253,205.3633,2690.194,12162.79,3160.117,91.7976,80.689,3946.03,42996.926,1227.9855,4839.346,62819.41,16251.38,89.2,1246.31,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.94,3.9,2.08,1.0,86.45,273.482,6.4434,25.261,297.9,180.697,3.9224,12.94,303.14,105.187,2.2449,5.619,122.74,165.846,3.9973,30.88,95.93,63.629,1.9914,1.092,143.79,788.841,18.5994,75.792,963.49,269.48,90.2,16.78,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.31,3.8,0.89,9.0,353.06,1186.906,46.1971,61.666,1345.94,794.664,22.3894,18.549,871.51,459.393,15.2419,7.635,509.8,488.936,16.349,108.005,463.33,317.738,7.4894,12.749,302.67,3247.637,107.6668,208.604,3493.24,1013.14,87.4,78.46,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.63,5.15,1.49,33.0,5912.78,15993.98,413.6516,1651.246,17968.98,10996.921,265.6606,311.327,15043.93,7143.403,203.0762,434.946,15579.51,8712.21,219.4472,2447.346,16383.63,3748.891,121.7752,155.958,7852.59,46595.404,1223.6107,5000.822,72828.64,18360.89,87.9,1447.72,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.75,1.7,2.67,24.0,2282.5,7748.053,278.9075,422.359,7001.35,4537.772,139.9117,258.716,6330.88,2048.653,75.1827,180.464,4682.27,3052.481,77.6739,697.342,8543.15,1275.631,40.2211,47.846,3038.61,18662.59,611.8968,1606.727,29596.25,7431.79,93.3,389.49,sheet,na,renewable,na,sheet_ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
