id,outer_radius_m,inner_radius_m,length_m,volume_m3,weight_kg,route,ore_grade,energy_route,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_per_unit,quality_score,distance_km,price_per_kg_usd,electricity_kwh.1
ren_029,0.031,0.0216,4.5147,0.00701419,18.9383,conventional,high,renewable,292.991,110.886,3.22,338.67,0.865,106.631,0.907,623.8,2.925,0.1473
ren_030,0.0879,0.0276,1.3475,0.02948835,79.6185,conventional,high,renewable,1256.837,434.393,11.548,1192.966,4.524,524.384,0.826,899.6,3.75,0.1411
ren_031,0.1363,0.0462,5.9204,0.30568632,825.3531,conventional,high,renewable,13192.19,3914.91,121.13,13496.408,7.51,3915.753,0.834,152.2,2.78,0.1027
ren_032,0.1202,0.0318,4.64,0.1959124,528.9635,conventional,high,renewable,10638.664,2226.393,62.962,10044.319,22.776,2674.735,0.81,587.7,2.344,0.1108
ren_033,0.0314,0.0069,4.8783,0.01438225,38.8321,conventional,medium,renewable,795.194,228.012,6.674,654.543,1.669,219.673,0.768,1127.2,3.07,0.1041
ren_034,0.1631,0.0261,1.0692,0.08711497,235.2104,recycled,,renewable,1643.427,172.884,19.763,796.866,6.674,499.586,0.799,566.0,0.887,0.1374
ren_035,0.1105,0.0959,2.365,0.02233874,60.3146,conventional,low,renewable,966.09,328.567,9.891,1058.334,4.285,429.488,0.564,649.5,4.619,0.1314
ren_036,0.026,0.0149,5.2729,0.00757594,20.455,conventional,low,renewable,384.425,138.651,4.301,212.511,1.274,146.476,0.44,838.9,4.407,0.1111
ren_037,0.1835,0.0709,2.8258,0.25438195,686.8313,recycled,,renewable,4574.756,532.832,51.179,3242.883,20.691,2202.862,0.67,854.5,1.678,0.1226
ren_038,0.1526,0.1324,2.76,0.04973061,134.2727,conventional,low,renewable,3141.242,905.386,29.921,1622.819,8.109,945.511,0.499,1105.4,4.397,0.1082
ren_039,0.0604,0.0077,1.1407,0.01287232,34.7553,conventional,medium,renewable,624.887,200.652,4.718,968.518,0.327,222.094,0.638,99.2,3.388,0.1425
ren_040,0.105,0.0065,4.6756,0.16124386,435.3584,conventional,medium,renewable,6955.459,2436.337,83.412,5975.683,12.474,2323.416,0.605,339.5,3.288,0.0964
ren_041,0.1489,0.0038,1.4096,0.09808707,264.8351,conventional,medium,renewable,4523.436,1380.997,43.7,4913.962,15.81,1632.436,0.779,999.7,3.573,0.1343
ren_042,0.0354,0.0008,1.1705,0.00460323,12.4287,conventional,medium,renewable,230.511,48.384,2.613,98.62,0.329,84.18,0.753,534.6,3.958,0.1463
ren_043,0.1763,0.1525,4.8191,0.1188179,320.8083,conventional,high,renewable,5582.505,1530.948,55.385,4841.694,3.373,1836.872,0.855,222.6,2.939,0.1349
ren_044,0.1694,0.0018,0.9076,0.08177012,220.7793,recycled,,renewable,1320.166,158.748,5.118,459.361,4.478,601.013,0.533,216.2,1.381,0.1533
ren_045,0.1286,0.0485,1.8033,0.08031313,216.8454,conventional,medium,renewable,3910.17,1337.593,40.585,3911.422,1.218,1048.879,0.621,80.7,2.631,0.1139
ren_046,0.1511,0.0999,2.6655,0.10755812,290.4069,conventional,low,renewable,6090.917,1479.337,43.827,3996.698,5.138,2081.286,0.577,238.5,3.878,0.1324
ren_047,0.1386,0.1113,1.573,0.03370958,91.0159,conventional,high,renewable,1834.269,546.18,16.09,1153.421,2.153,518.783,0.824,998.1,3.155,0.1157
ren_048,0.0812,0.0048,1.9602,0.04043952,109.1867,conventional,medium,renewable,2192.257,694.392,20.013,2219.482,5.297,686.59,0.797,586.3,3.112,0.1253
ren_049,0.0952,0.0663,1.5088,0.02214972,59.8042,conventional,high,renewable,875.772,214.851,12.398,847.509,7.239,283.527,0.833,1057.4,2.47,0.0959
ren_050,0.1897,0.1109,3.1249,0.2324894,627.7214,conventional,high,renewable,9944.202,3549.955,148.657,7624.472,26.182,2936.821,0.845,982.7,2.467,0.1073
ren_051,0.1244,0.1068,1.667,0.02136149,57.676,conventional,low,renewable,1166.534,258.439,7.481,1120.097,0.981,367.874,0.509,605.1,3.388,0.1221
ren_052,0.1065,0.0823,2.1521,0.0309259,83.4999,recycled,,renewable,396.071,46.477,6.568,386.816,7.551,244.791,0.772,1007.7,1.742,0.1248
ren_053,0.1314,0.0196,5.2971,0.28074492,758.0113,recycled,,renewable,4590.12,431.052,51.551,2775.405,22.212,2138.195,0.604,358.7,1.601,0.1299
ren_054,0.1341,0.0997,0.7312,0.01850376,49.9601,recycled,,renewable,371.242,25.748,3.173,230.455,1.143,148.297,0.733,855.6,1.535,0.1442
ren_055,0.0823,0.0034,5.2421,0.11123894,300.3451,recycled,,renewable,2139.971,205.078,24.509,435.053,22.505,694.746,0.818,1196.6,1.458,0.0793
ren_056,0.1449,0.0116,4.1149,0.2695396,727.7569,recycled,,renewable,4841.959,424.535,25.802,4723.292,8.759,2240.367,0.512,291.3,1.914,0.1177
ren_057,0.1373,0.1144,2.8919,0.05236834,141.3945,recycled,,renewable,1016.0,102.02,10.202,365.285,0.925,462.808,0.693,58.4,1.713,0.1345
ren_058,0.0411,0.0261,2.6388,0.00835409,22.556,conventional,medium,renewable,436.031,112.969,3.658,125.238,0.807,132.481,0.772,728.0,3.143,0.1368
ren_059,0.0271,0.0022,1.5281,0.0035098,9.4765,recycled,,renewable,59.708,6.253,0.574,40.868,0.065,19.034,0.727,123.7,0.885,0.1375
ren_060,0.1441,0.0272,1.0881,0.06846671,184.8601,conventional,medium,renewable,3465.542,1193.943,28.99,3779.474,11.871,1186.577,0.705,984.4,3.415,0.1279
ren_061,0.0347,0.008,1.0413,0.0037303,10.0718,recycled,,renewable,54.836,8.488,0.585,26.188,1.415,30.329,0.772,1195.7,1.864,0.1426
ren_062,0.033,0.0079,2.8295,0.00911955,24.6228,recycled,,renewable,202.814,16.562,0.708,172.424,2.847,74.538,0.669,1050.6,1.563,0.0827
ren_063,0.0698,0.0576,1.3429,0.00659324,17.8018,conventional,medium,renewable,298.228,92.429,2.726,264.752,0.594,116.952,0.719,311.7,3.923,0.1252
ren_064,0.0904,0.0208,3.9747,0.09662346,260.8833,conventional,medium,renewable,2513.33,1434.718,44.254,5522.492,8.177,1212.171,0.607,854.0,3.671,0.0781
ren_065,0.1395,0.1129,4.8535,0.10245918,276.6398,conventional,low,renewable,4756.908,2009.068,50.37,5162.984,7.69,1795.581,0.508,393.1,3.875,0.1193
ren_066,0.14,0.0041,1.9168,0.11798511,318.5598,recycled,,renewable,2479.494,238.742,17.899,1378.137,31.925,1056.346,0.699,1134.6,1.905,0.1075
ren_067,0.1312,0.0698,0.2793,0.01083564,29.2562,recycled,,renewable,264.443,27.111,1.085,130.306,0.871,77.066,0.848,1199.3,1.336,0.0971
ren_068,0.1608,0.1139,5.2832,0.2138507,577.3969,conventional,high,renewable,11351.301,3235.35,133.719,7906.296,0.812,3313.167,0.873,26.8,2.848,0.1344
ren_069,0.0899,0.02,2.3022,0.05560225,150.1261,conventional,high,renewable,3439.823,866.735,25.072,375.761,0.408,1154.831,0.916,50.3,3.716,0.165
ren_070,0.1577,0.1071,5.7376,0.24129692,651.5017,conventional,high,renewable,8915.38,3374.994,116.392,6676.758,25.002,2822.911,0.908,382.6,2.452,0.1162
ren_071,0.1489,0.0599,0.8191,0.04784183,129.1729,conventional,medium,renewable,2221.286,520.195,25.527,1924.911,9.411,812.544,0.72,971.1,3.625,0.1264
ren_072,0.1792,0.0372,3.7048,0.35749055,965.2245,conventional,low,renewable,16125.26,5575.046,204.74,11773.576,10.555,7219.938,0.437,132.7,4.939,0.1349
ren_073,0.1526,0.0312,0.6647,0.04662603,125.8903,conventional,medium,renewable,2792.009,717.639,35.651,1382.48,6.068,847.758,0.616,525.3,4.147,0.0926
ren_074,0.181,0.0574,1.4373,0.13298938,359.0713,conventional,high,renewable,7707.02,2025.689,79.442,5580.943,7.707,2166.246,0.934,402.7,2.985,0.1076
ren_075,0.1204,0.0524,0.4548,0.0167965,45.3505,conventional,low,renewable,843.99,291.942,6.523,513.475,3.632,300.924,0.519,804.6,4.612,0.0917
ren_076,0.1716,0.1031,0.6258,0.03695713,99.7842,recycled,,renewable,668.598,67.944,4.418,199.883,3.154,235.898,0.74,488.4,0.957,0.1342
ren_077,0.1128,0.0514,5.9537,0.1886303,509.3018,recycled,,renewable,3584.905,361.961,33.835,1526.818,3.547,1649.351,0.638,115.5,1.947,0.1142
ren_078,0.1956,0.155,0.8819,0.03942815,106.456,recycled,,renewable,628.817,70.671,6.409,216.345,1.295,262.589,0.51,453.7,1.227,0.1478
ren_079,0.0443,0.019,5.7984,0.02920213,78.8458,conventional,high,renewable,868.402,395.332,10.147,801.657,0.714,348.464,0.999,92.4,2.967,0.1041
ren_080,0.1971,0.0275,0.8162,0.09763653,263.6186,conventional,high,renewable,4621.977,1294.092,52.059,5523.662,10.595,1465.066,0.826,641.9,3.18,0.1232
ren_081,0.055,0.0207,4.9825,0.04066974,109.8083,recycled,,renewable,521.981,38.28,6.991,436.711,1.228,329.545,0.539,149.5,1.803,0.1278
ren_082,0.1079,0.034,4.4504,0.14657561,395.7542,conventional,high,renewable,6689.757,1830.787,89.319,3718.462,9.551,1839.562,0.98,1012.2,2.16,0.1257
ren_083,0.1387,0.0825,3.7222,0.14538716,392.5453,conventional,medium,renewable,7304.388,2258.834,73.558,3244.139,16.553,2144.279,0.62,432.6,2.894,0.1227
ren_084,0.1576,0.0032,0.5848,0.04560655,123.1377,recycled,,renewable,1014.853,92.948,6.594,446.22,7.013,413.729,0.517,779.8,2.065,0.0916
ren_085,0.1943,0.0544,5.8818,0.64302458,1736.1664,conventional,medium,renewable,35312.316,10725.804,297.9,20879.343,58.819,10161.092,0.624,529.9,2.745,0.1272
ren_086,0.1796,0.0493,4.9141,0.46068816,1243.858,recycled,,renewable,9552.552,720.068,96.737,6345.758,97.717,3605.211,0.875,663.1,1.236,0.1443
ren_087,0.0278,0.0032,4.3833,0.01047752,28.2893,recycled,,renewable,173.736,23.041,2.306,32.568,1.727,83.839,0.804,686.7,1.627,0.1345
ren_088,0.0488,0.0004,1.5554,0.01164215,31.4338,recycled,,renewable,278.285,17.263,2.339,193.939,2.24,89.056,0.502,944.9,1.42,0.1252
ren_089,0.157,0.1154,1.2946,0.04609713,124.4622,recycled,,renewable,572.077,50.457,2.255,607.822,5.299,359.627,0.501,719.8,1.719,0.1036
ren_090,0.1315,0.1006,0.6486,0.01462434,39.4857,conventional,medium,renewable,618.794,297.657,10.363,830.852,1.37,266.095,0.615,338.4,3.852,0.1508
ren_091,0.0802,0.0509,4.7528,0.05731076,154.739,conventional,medium,renewable,2508.579,918.335,19.401,2467.97,6.69,917.477,0.768,517.1,3.637,0.1173
ren_092,0.1229,0.0214,2.2372,0.10299131,278.0765,conventional,high,renewable,5218.625,1248.113,44.87,1953.901,10.648,1595.366,0.827,560.7,3.005,0.1265
ren_093,0.1094,0.0758,4.6165,0.09019226,243.5191,conventional,medium,renewable,4512.293,1182.201,35.14,4085.06,3.614,1434.742,0.613,314.5,3.254,0.1224
ren_094,0.0261,0.0213,0.9215,0.00064555,1.743,conventional,medium,renewable,39.234,11.081,0.205,21.534,0.034,11.685,0.794,253.8,3.741,0.1213
ren_095,0.0829,0.0121,1.4294,0.03021144,81.5709,conventional,low,renewable,1849.563,578.478,20.593,1189.855,1.766,538.379,0.52,591.9,3.456,0.123
ren_096,0.0312,0.0202,2.8095,0.00497829,13.4414,conventional,medium,renewable,302.542,64.926,2.485,310.811,1.522,87.022,0.69,1057.9,3.515,0.1103
ren_097,0.159,0.0102,2.8372,0.22429936,605.6083,recycled,,renewable,5268.361,419.433,50.247,2525.329,21.575,1651.092,0.819,358.8,1.097,0.105
ren_098,0.0913,0.0437,1.0319,0.02082214,56.2198,recycled,,renewable,444.694,39.952,2.299,260.601,0.721,195.128,0.821,118.5,2.322,0.1133
ren_099,0.1109,0.0423,5.9063,0.19519302,527.0212,recycled,,renewable,3152.7,350.351,58.916,2566.303,5.582,1586.956,0.828,113.7,1.714,0.1397
ren_100,0.1173,0.0345,2.8799,0.11382622,307.3308,recycled,,renewable,1651.106,154.866,12.298,996.624,1.876,973.126,0.557,138.8,1.894,0.1459
ren_101,0.0826,0.0577,3.9418,0.04335061,117.0466,conventional,high,renewable,2191.411,613.463,17.369,2454.863,0.448,584.347,0.967,102.2,2.351,0.1227
ren_102,0.1449,0.0424,1.3546,0.08176151,220.7561,conventional,high,renewable,4353.705,1194.921,45.341,4536.206,13.622,1301.216,0.822,811.5,2.964,0.127
ren_103,0.1756,0.0644,5.8631,0.49176185,1327.757,conventional,medium,renewable,23611.098,7700.827,255.831,25815.996,50.165,7962.212,0.619,352.2,3.107,0.135
ren_104,0.0222,0.005,3.6303,0.00535618,14.4617,conventional,high,renewable,247.958,72.533,2.644,300.939,0.21,70.877,0.934,130.8,2.429,0.1179
ren_105,0.1229,0.0503,1.97,0.07787176,210.2538,conventional,medium,renewable,4288.864,1560.563,52.56,2087.379,3.995,1284.655,0.79,624.6,3.736,0.0977
ren_106,0.1538,0.0937,0.5185,0.02424757,65.4684,conventional,high,renewable,753.129,262.986,8.102,954.822,1.24,262.707,0.801,264.3,2.198,0.1114
ren_107,0.0266,0.008,4.8353,0.00977257,26.3859,conventional,medium,renewable,496.029,125.141,5.033,409.45,1.924,129.766,0.684,1051.6,2.322,0.1161
ren_108,0.1834,0.1068,1.9253,0.13440921,362.9049,recycled,,renewable,2287.551,209.495,15.733,249.052,17.755,856.151,0.528,514.4,1.289,0.1058
ren_109,0.0344,0.0279,4.0446,0.00519531,14.0273,recycled,,renewable,103.396,9.653,1.02,57.337,0.056,34.86,0.694,187.7,1.339,0.1352
ren_110,0.1239,0.015,3.396,0.16138394,435.7366,conventional,medium,renewable,7477.956,3240.004,57.628,8538.596,23.786,2628.305,0.772,546.8,3.84,0.1071
ren_111,0.0976,0.0542,2.2899,0.04739433,127.9647,conventional,medium,renewable,2139.397,597.309,20.832,1951.192,5.337,678.447,0.735,771.5,3.283,0.0957
ren_112,0.0856,0.0809,2.7786,0.0068655,18.5368,recycled,,renewable,113.37,8.58,1.074,85.527,0.084,42.644,0.683,47.6,1.216,0.1201
ren_113,0.0721,0.0073,5.7399,0.09268568,250.2513,conventional,low,renewable,5312.467,1221.043,33.766,2259.863,12.499,1822.633,0.457,673.4,4.0,0.129
ren_114,0.055,0.018,1.6945,0.01439662,38.8709,recycled,,renewable,249.296,25.661,3.945,101.878,5.009,71.226,0.749,1192.7,0.714,0.0985
ren_115,0.1225,0.0233,2.4313,0.11046696,298.2608,conventional,medium,renewable,4289.419,1553.944,57.029,3481.471,35.998,1943.391,0.697,1055.0,3.779,0.1554
ren_116,0.126,0.0346,1.299,0.05988312,161.6844,recycled,,renewable,927.611,63.665,13.562,565.031,7.434,552.154,0.544,1148.1,1.745,0.1743
ren_117,0.1737,0.1425,5.3692,0.16667841,450.0317,conventional,low,renewable,7709.755,2946.804,74.012,9279.908,12.6,3085.137,0.446,837.2,4.451,0.1239
ren_118,0.1923,0.1899,4.0932,0.01221583,32.9827,recycled,,renewable,190.624,20.703,2.507,169.249,2.732,106.356,0.535,1018.2,2.016,0.1072
ren_119,0.1078,0.0429,2.5019,0.07685991,207.5218,conventional,high,renewable,3768.419,942.735,35.532,4622.569,4.436,1161.819,0.859,854.4,2.801,0.1322
ren_120,0.1646,0.0629,5.4461,0.39607119,1069.3922,conventional,medium,renewable,17895.641,6090.851,250.694,9042.671,62.74,4732.133,0.737,711.3,1.911,0.1212
ren_121,0.1485,0.1125,3.3598,0.09921327,267.8758,conventional,high,renewable,4517.706,1286.406,38.065,3179.432,8.403,1372.347,0.82,345.9,2.806,0.1194
ren_122,0.1717,0.1319,5.362,0.20350175,549.4547,conventional,low,renewable,11607.968,3286.739,45.301,7872.919,0.507,4342.823,0.613,25.1,4.717,0.1253
ren_123,0.157,0.1035,1.8585,0.08129857,219.5061,conventional,medium,renewable,3735.237,658.743,39.659,1710.521,5.692,1288.526,0.642,455.1,3.259,0.1175
ren_124,0.105,0.0207,4.0991,0.13648523,368.5101,conventional,high,renewable,6449.258,2070.115,48.799,8554.36,19.227,1762.73,0.874,1070.5,2.44,0.1026
ren_125,0.1129,0.0908,0.1867,0.00263132,7.1046,conventional,high,renewable,109.011,34.278,1.283,125.682,0.394,31.961,0.955,632.5,2.783,0.0718
ren_126,0.0426,0.0312,4.8622,0.012885,34.7895,conventional,high,renewable,566.123,135.39,6.491,530.694,2.154,171.07,0.88,940.8,2.869,0.0952
ren_127,0.0611,0.0276,4.5099,0.04203443,113.493,conventional,high,renewable,2199.951,499.326,17.715,1894.66,8.32,567.304,0.927,942.0,2.402,0.107
ren_128,0.0668,0.0569,1.814,0.00696346,18.8013,conventional,low,renewable,316.242,165.58,2.175,299.387,0.098,135.312,0.52,110.0,5.053,0.1033
ren_129,0.0979,0.0158,2.7287,0.080023,216.0621,conventional,high,renewable,4195.176,1002.77,24.913,2466.738,19.252,1273.271,0.982,754.4,2.863,0.1266
ren_130,0.1139,0.0788,1.0539,0.02236865,60.3954,conventional,medium,renewable,1034.146,355.621,14.457,1013.317,0.103,322.423,0.646,30.7,3.21,0.1009
ren_131,0.06,0.047,4.4003,0.01920901,51.8643,conventional,medium,renewable,910.809,249.497,6.086,429.407,5.279,276.63,0.758,910.0,2.59,0.1268
ren_132,0.1215,0.0766,1.5184,0.0424626,114.649,conventional,low,renewable,2233.448,820.529,21.122,2054.747,6.922,852.031,0.597,629.7,5.027,0.1119
ren_133,0.1904,0.076,4.7042,0.45015101,1215.4077,conventional,medium,renewable,21831.351,6377.979,240.353,18298.823,61.813,7130.187,0.754,503.1,3.701,0.0995
ren_134,0.0473,0.0206,1.7666,0.01004644,27.1254,conventional,high,renewable,560.749,134.548,3.703,259.614,2.547,151.757,0.885,895.4,3.072,0.1065
ren_135,0.1483,0.0254,2.2886,0.15343161,414.2653,recycled,,renewable,2956.367,314.259,18.159,1141.025,30.558,1387.91,0.619,941.1,1.783,0.1396
ren_136,0.1486,0.0144,3.1317,0.21520429,581.0516,conventional,high,renewable,8778.442,2816.024,129.864,11400.702,22.33,3039.127,0.869,972.3,2.631,0.1363
ren_137,0.1742,0.1211,3.4162,0.16819139,454.1167,recycled,,renewable,1855.314,194.684,40.366,1775.4,12.215,1208.691,0.887,297.3,1.759,0.1093
ren_138,0.0293,0.0167,5.1896,0.00944298,25.496,conventional,low,renewable,499.122,148.573,5.297,332.467,0.664,183.414,0.599,315.6,4.514,0.1104
ren_139,0.0222,0.0008,3.3383,0.00515699,13.9239,conventional,high,renewable,277.258,65.302,2.422,159.87,0.654,77.954,0.875,530.7,3.173,0.1026
ren_140,0.1409,0.0266,2.5682,0.15437841,416.8217,recycled,,renewable,2762.468,173.488,13.936,1715.726,22.099,1341.689,0.639,851.4,2.13,0.1099
ren_141,0.0916,0.018,2.9499,0.07472037,201.745,conventional,high,renewable,3747.14,879.06,34.122,4714.228,7.404,1248.623,0.941,785.2,3.336,0.1235
ren_142,0.0688,0.0537,5.6857,0.03301153,89.1311,conventional,high,renewable,1333.171,478.55,12.961,2092.527,1.847,489.564,0.992,318.7,2.818,0.1533
ren_143,0.0539,0.0455,0.7012,0.00185068,4.9968,conventional,medium,renewable,91.281,26.334,0.578,118.665,0.171,34.357,0.775,772.5,4.023,0.1365
ren_144,0.0225,0.004,1.6978,0.00261018,7.0475,conventional,high,renewable,141.11,40.443,1.384,121.658,0.497,40.811,0.948,747.8,2.24,0.1523
ren_145,0.0868,0.0453,3.2762,0.05646552,152.4569,conventional,high,renewable,2948.028,587.159,31.668,1825.015,7.021,1026.616,0.889,542.2,3.488,0.1491
ren_146,0.1105,0.0531,5.57,0.16431278,443.6445,conventional,medium,renewable,9559.807,2300.447,89.487,4350.245,11.41,2732.874,0.662,828.5,3.425,0.106
ren_147,0.1127,0.038,2.1874,0.0773704,208.9001,recycled,,renewable,1420.862,124.474,12.572,1169.28,5.049,411.212,0.835,613.7,0.851,0.0927
ren_148,0.1746,0.0732,3.7022,0.29221101,788.9697,conventional,medium,renewable,16222.719,4225.65,172.81,15457.71,2.05,4314.628,0.778,118.6,2.762,0.1117
ren_149,0.0838,0.018,3.1634,0.06652034,179.6049,conventional,high,renewable,3082.1,865.982,35.526,815.31,7.002,1039.29,0.834,526.2,3.365,0.106
ren_150,0.1767,0.0903,0.7808,0.05656845,152.7348,conventional,high,renewable,3042.748,830.22,32.737,2111.849,1.715,764.144,0.959,514.7,2.815,0.1001
ren_151,0.1209,0.0784,1.5943,0.04242666,114.552,conventional,medium,renewable,2430.434,450.779,19.763,1581.44,2.858,818.76,0.678,236.5,4.046,0.1268
ren_152,0.1823,0.012,5.2764,0.54862429,1481.2856,conventional,medium,renewable,29733.999,7960.192,155.443,26809.132,18.294,9153.581,0.693,459.6,3.055,0.144
ren_153,0.1382,0.0011,1.3842,0.08306548,224.2768,recycled,,renewable,1514.832,130.548,13.824,1050.943,20.123,787.802,0.556,942.7,2.11,0.1334
ren_154,0.1408,0.0993,1.1023,0.03448168,93.1005,conventional,low,renewable,2030.611,777.652,19.678,1541.089,1.284,781.854,0.444,204.6,4.964,0.1308
ren_155,0.0765,0.0156,2.6066,0.04591855,123.9801,recycled,,renewable,665.993,81.152,6.395,702.038,3.771,352.991,0.755,340.9,1.809,0.1104
ren_156,0.0784,0.0142,4.1984,0.07844466,211.8006,conventional,medium,renewable,3928.153,1291.844,32.221,3793.377,6.089,1326.587,0.652,454.6,3.485,0.131
ren_157,0.1783,0.0971,0.33,0.02315546,62.5197,recycled,,renewable,477.26,41.056,4.147,294.087,0.183,162.976,0.843,99.4,1.063,0.1346
ren_158,0.1996,0.0079,2.526,0.31558205,852.0715,conventional,high,renewable,17470.031,4614.017,112.429,15728.734,5.828,4731.195,0.924,65.9,3.334,0.0838
ren_159,0.1756,0.0981,5.945,0.39606635,1069.3792,recycled,,renewable,9439.666,700.622,67.567,3946.307,28.29,3584.556,0.786,642.7,1.796,0.1089
ren_160,0.1268,0.0565,4.0812,0.1650495,445.6336,recycled,,renewable,3562.464,241.524,36.657,2502.891,7.612,1179.884,0.74,204.3,1.141,0.12
ren_161,0.0523,0.0203,4.0398,0.02945303,79.5232,recycled,,renewable,670.079,53.632,9.641,186.5,2.639,241.896,0.737,695.7,1.491,0.13
ren_162,0.0839,0.0026,2.5977,0.05737274,154.9064,conventional,medium,renewable,2944.569,789.505,33.431,1834.419,12.038,1022.794,0.612,1168.6,3.482,0.1326
ren_163,0.0321,0.0182,5.13,0.01123806,30.3428,recycled,,renewable,191.312,16.079,1.648,109.711,3.4,78.272,0.611,1168.2,1.515,0.089
ren_164,0.1637,0.0476,1.4718,0.11340681,306.1984,conventional,high,renewable,6213.992,1546.085,65.908,4010.829,21.049,1457.589,0.827,684.8,2.033,0.1124
