Sample_ID,Scrap_Input_kg,Scrap_Quality_pct,Crushing__Electricity_kWh,Crushing__Carbon_kgCO2e,Crushing__NaturalGas_Nm3,Crushing__WasteWater_L,Crushing__LiquidFuel_L,Crushing__Fluorine_g,Crushing__SO2_g,Furnace_Melting__Electricity_kWh,Furnace_Melting__Carbon_kgCO2e,Furnace_Melting__NaturalGas_Nm3,Furnace_Melting__WasteWater_L,Furnace_Melting__LiquidFuel_L,Furnace_Melting__Fluorine_g,Furnace_Melting__SO2_g,Separation__Electricity_kWh,Separation__Carbon_kgCO2e,Separation__NaturalGas_Nm3,Separation__WasteWater_L,Separation__LiquidFuel_L,Separation__Fluorine_g,Separation__SO2_g,Final_Casting__Electricity_kWh,Final_Casting__Carbon_kgCO2e,Final_Casting__NaturalGas_Nm3,Final_Casting__WasteWater_L,Final_Casting__LiquidFuel_L,Final_Casting__Fluorine_g,Final_Casting__SO2_g,Total__Electricity_kWh,Total__Carbon_kgCO2e,Total__NaturalGas_Nm3,Total__WasteWater_L,Total__LiquidFuel_L,Total__Fluorine_g,Total__SO2_g
R-013,1.074,0.915,0.023918800000000004,0.0079404,0.0,0.638049,0.013746,0.0,0.026386,2.5477688,0.9873532000000002,0.622418,0.273894,0.111074,0.0,0.540044,0.1434936,0.039369,0.0607,1.157157,0.023372,0.0,0.052306,0.230132,0.06907060000000001,0.024945,0.130334,0.060077,0.0,0.130236,2.9453132,1.1037332,0.708063,2.199434,0.208269,0.0,0.748972
R-014,1.203,0.997,0.0258044,0.0072938000000000005,0.0,0.649841,0.012332,0.0,0.022637,2.8672432000000003,0.8935088000000001,0.586411,0.228288,0.121531,0.0,0.62611,0.1497648,0.0432738,0.061979,1.210405,0.025217,0.0,0.062602,0.2432464,0.07580200000000001,0.022325,0.1183,0.067377,0.0,0.139722,3.2860588,1.0198784,0.670715,2.206834,0.226457,0.0,0.851071
R-015,1.082,0.997,0.02238,0.0064174,0.0,0.527091,0.011556,0.0,0.022751,2.1768756000000002,0.7853102000000001,0.640952,0.177976,0.112987,0.0,0.631068,0.115994,0.035908600000000006,0.062081,1.057745,0.021565,0.0,0.056334,0.2122972,0.0642868,0.020497,0.109966,0.055879,0.0,0.112467,2.5275468,0.8919230000000001,0.72353,1.872778,0.201987,0.0,0.82262
R-016,1.174,0.996,0.025572800000000003,0.006535000000000001,0.0,0.57376,0.011236,0.0,0.023252,3.0104308,0.7566670000000001,0.596642,0.269572,0.107339,0.0,0.606499,0.1357624,0.04080520000000001,0.057054,1.161253,0.02244,0.0,0.055551,0.23255560000000003,0.0784638,0.023678,0.118701,0.052108,0.0,0.121521,3.4043216000000003,0.882471,0.677374,2.123286,0.193123,0.0,0.806823
R-017,1.051,0.876,0.025156400000000002,0.007105,0.0,0.626201,0.013336,0.0,0.0219,2.5364808,0.853074,0.695128,0.208673,0.12472,0.0,0.611876,0.1596088,0.048324200000000005,0.063389,1.122828,0.026591,0.0,0.059674,0.23838800000000002,0.08199300000000001,0.023834,0.133635,0.064341,0.0,0.126298,2.9596340000000003,0.9904961999999999,0.782351,2.091337,0.228988,0.0,0.819748
R-018,1.139,0.937,0.023632,0.0071088,0.0,0.623466,0.012874,0.0,0.022837,3.0446396,0.8481778000000001,0.566864,0.285126,0.120962,0.0,0.572842,0.15557200000000002,0.0437012,0.059922,1.199132,0.026242,0.0,0.065073,0.225154,0.0735484,0.02875,0.128125,0.061309,0.0,0.116206,3.4489976,0.9725362000000001,0.655536,2.235849,0.221387,0.0,0.776958
R-019,1.109,0.998,0.021972000000000002,0.0063886,0.0,0.574491,0.011799,0.0,0.020383,2.7744448,0.8239312000000001,0.586483,0.198044,0.119392,0.0,0.604385,0.1374588,0.0402196,0.052786,1.037756,0.021319,0.0,0.05638,0.2191524,0.06740420000000001,0.02203,0.111729,0.055634,0.0,0.112882,3.1530280000000004,0.9379436000000001,0.661299,1.92202,0.208144,0.0,0.79403
R-020,1.15,0.891,0.0259252,0.0068774000000000005,0.0,0.645464,0.013563,0.0,0.025759,2.9007064000000002,1.0169416,0.702448,0.272429,0.149481,0.0,0.644381,0.16256320000000002,0.0476662,0.074949,1.36289,0.023643,0.0,0.061959,0.3017268,0.08121220000000001,0.027143,0.137921,0.066912,0.0,0.132504,3.3909216000000004,1.1526973999999999,0.80454,2.418704,0.253599,0.0,0.864603
R-021,1.027,0.857,0.023177200000000002,0.0077468,0.0,0.63273,0.013496,0.0,0.026035,3.083734,0.8294800000000001,0.59478,0.255759,0.117914,0.0,0.670349,0.1572792,0.049144400000000005,0.060015,1.113347,0.025336,0.0,0.060618,0.24937399999999998,0.076036,0.024951,0.130028,0.063484,0.0,0.139651,3.5135644,0.9624072,0.679746,2.131864,0.22023,0.0,0.896653
R-022,1.229,0.991,0.025150400000000003,0.007043000000000001,0.0,0.591394,0.013025,0.0,0.026336,2.9211328000000005,0.9564970000000002,0.712153,0.232526,0.13911,0.0,0.573654,0.1550744,0.0507984,0.061497,1.32413,0.024569,0.0,0.059738,0.2438876,0.07643240000000001,0.026865,0.134976,0.061053,0.0,0.130903,3.3452452000000004,1.0907708,0.800515,2.283026,0.237757,0.0,0.790631
R-023,1.327,0.998,0.0292936,0.0078194,0.0,0.719511,0.012453,0.0,0.025465,3.3229016000000002,0.8903570000000001,0.615267,0.280816,0.155224,0.0,0.709547,0.15920080000000003,0.048974000000000004,0.065488,1.297588,0.024673,0.0,0.066324,0.281432,0.0807322,0.026356,0.121598,0.059595,0.0,0.130173,3.792828,1.0278826,0.707111,2.419513,0.251945,0.0,0.931509
R-024,1.041,0.935,0.0234496,0.006479200000000001,0.0,0.613239,0.009297,0.0,0.021007,2.7316928000000003,0.6991696000000001,0.436622,0.229633,0.118633,0.0,0.681598,0.1437736,0.0403328,0.053983,1.110801,0.022284,0.0,0.055997,0.23316880000000004,0.0706166,0.023161,0.111846,0.058851,0.0,0.100484,3.1320848000000003,0.8165982,0.513766,2.065519,0.209065,0.0,0.859086
R-025,1.179,0.95,0.023256,0.0079926,0.0,0.641598,0.013169,0.0,0.026231,3.0716132000000003,0.6326704000000001,0.678033,0.268218,0.118932,0.0,0.666306,0.1478024,0.0419996,0.058296,1.294599,0.02579,0.0,0.05997,0.2684804,0.0760822,0.023791,0.129277,0.065634,0.0,0.118853,3.511152,0.7587448000000001,0.76012,2.333692,0.223525,0.0,0.87136
R-026,1.247,0.898,0.0280292,0.008769,0.0,0.729582,0.013375,0.0,0.028379,3.37872,0.9356404,0.728877,0.302297,0.149056,0.0,0.660155,0.1781908,0.05123520000000001,0.066561,1.369487,0.028132,0.0,0.060287,0.297688,0.087566,0.028017,0.14697,0.072678,0.0,0.142267,3.882628,1.0832106,0.823455,2.548336,0.263241,0.0,0.891088
R-027,1.303,0.866,0.0312984,0.009894600000000002,0.0,0.768126,0.016278,0.0,0.03059,3.4558248000000003,1.2595266,0.848808,0.320256,0.144675,0.0,0.911875,0.20290640000000001,0.05841060000000001,0.077858,1.650791,0.032195,0.0,0.077076,0.3163416,0.0911476,0.033222,0.156184,0.089614,0.0,0.159833,4.0063712,1.4189794,0.959888,2.895357,0.282762,0.0,1.179374
R-028,1.178,0.951,0.0272016,0.007170200000000001,0.0,0.63215,0.012573,0.0,0.027446,3.2679831999999998,0.9071546,0.529227,0.271789,0.12669,0.0,0.650284,0.15447080000000002,0.045282600000000006,0.065186,1.449171,0.024903,0.0,0.072339,0.261274,0.0774558,0.027063,0.127807,0.065109,0.0,0.126508,3.7109296,1.0370632000000002,0.621476,2.480917,0.229275,0.0,0.876577
R-029,1.217,0.97,0.0285556,0.007696400000000001,0.0,0.608198,0.012623,0.0,0.025667,3.2758688,0.8696094000000001,0.564174,0.25663,0.136594,0.0,0.562019,0.13612280000000002,0.0445062,0.068909,1.186635,0.024684,0.0,0.062688,0.25464400000000004,0.07746720000000001,0.026703,0.126415,0.056748,0.0,0.130296,3.6951912,0.9992792,0.659786,2.177878,0.230649,0.0,0.78067
R-030,1.217,0.919,0.027151599999999998,0.0074275999999999995,0.0,0.759256,0.014399,0.0,0.02732,2.5748588000000003,0.9851396,0.755968,0.251358,0.145331,0.0,0.728767,0.1518316,0.0505952,0.063137,1.245532,0.026711,0.0,0.069194,0.2589672,0.0801246,0.027388,0.146859,0.073329,0.0,0.14964,3.0128092,1.1232870000000001,0.846493,2.403005,0.25977,0.0,0.974921
R-031,1.266,0.924,0.030798,0.0082958,0.0,0.699519,0.015128,0.0,0.029409,3.5107032,1.1580582,0.641853,0.274241,0.130606,0.0,0.858386,0.17733120000000002,0.053852800000000006,0.068142,1.528138,0.026913,0.0,0.068182,0.2788124,0.0880432,0.030754,0.132406,0.067683,0.0,0.141456,3.9976447999999998,1.3082500000000001,0.740749,2.634304,0.24033,0.0,1.097433
R-032,1.061,0.951,0.0221164,0.006444999999999999,0.0,0.553052,0.011892,0.0,0.023191,3.0819964,0.8852892000000001,0.648858,0.211302,0.125764,0.0,0.565955,0.15201960000000003,0.0393914,0.057298,1.157378,0.022579,0.0,0.062731,0.24381200000000003,0.06397420000000001,0.021795,0.121,0.054031,0.0,0.107161,3.4999444,0.9950998000000001,0.727951,2.042732,0.214266,0.0,0.759038
R-033,1.335,0.992,0.023744,0.0072364000000000005,0.0,0.702589,0.013642,0.0,0.027724,3.2209784,1.0837188,0.68562,0.274717,0.157401,0.0,0.693297,0.1647316,0.052632000000000005,0.0723,1.262899,0.025636,0.0,0.068099,0.30132400000000004,0.0843324,0.027031,0.140532,0.061978,0.0,0.140196,3.710778,1.2279196,0.784951,2.380737,0.258657,0.0,0.929316
R-034,1.189,0.906,0.0271084,0.0077344,0.0,0.68262,0.012516,0.0,0.028178,3.7727552000000006,0.8391624000000001,0.614583,0.287941,0.163566,0.0,0.69375,0.15924320000000003,0.0429222,0.064328,1.433156,0.027032,0.0,0.06774,0.2656412,0.0741478,0.025264,0.134265,0.066771,0.0,0.141958,4.224748000000001,0.9639668000000001,0.704175,2.537982,0.269885,0.0,0.931626
R-035,1.379,0.88,0.034519600000000004,0.0104034,0.0,0.87495,0.016049,0.0,0.031013,4.8302908,1.1267960000000001,0.730522,0.328107,0.181923,0.0,0.824905,0.2074604,0.0593938,0.076516,1.562415,0.034305,0.0,0.079833,0.342108,0.09511760000000001,0.035168,0.157914,0.078411,0.0,0.150748,5.414378800000001,1.2917108000000002,0.842206,2.923386,0.310688,0.0,1.086499
R-036,1.2,0.913,0.0272508,0.0082234,0.0,0.682178,0.012761,0.0,0.025724,3.0541844000000005,1.0584792,0.680222,0.275875,0.159365,0.0,0.604301,0.15689920000000002,0.04938100000000001,0.062168,1.457634,0.026071,0.0,0.068903,0.3014892,0.0842214,0.029249,0.137934,0.066695,0.0,0.13925,3.5398236,1.2003050000000002,0.771639,2.553621,0.264892,0.0,0.838178
R-037,1.098,0.956,0.0226652,0.0074904,0.0,0.649396,0.013527,0.0,0.02055,3.1538736000000003,0.7685172,0.622747,0.210914,0.121256,0.0,0.628548,0.129572,0.043961200000000006,0.060366,1.115683,0.02626,0.0,0.056703,0.23080440000000002,0.07367,0.021837,0.107753,0.060211,0.0,0.1366,3.5369152,0.8936388000000002,0.70495,2.083746,0.221254,0.0,0.842401
R-038,1.084,0.993,0.023082400000000003,0.006952600000000001,0.0,0.552499,0.010367,0.0,0.023047,2.4730988000000003,0.6931618,0.59471,0.254146,0.096528,0.0,0.558765,0.1375472,0.0399514,0.056573,1.11638,0.023488,0.0,0.053607,0.19246560000000001,0.0672616,0.021212,0.103521,0.052637,0.0,0.12067,2.826194,0.8073274,0.672495,2.026546,0.18302,0.0,0.756089
R-039,1.247,0.938,0.0281092,0.0079834,0.0,0.675504,0.014202,0.0,0.027491,3.3657567999999998,0.9877700000000001,0.561601,0.288844,0.148247,0.0,0.689655,0.1467164,0.05651040000000001,0.064136,1.333213,0.026805,0.0,0.068513,0.27243560000000006,0.0808486,0.026967,0.140625,0.069214,0.0,0.149321,3.8130180000000005,1.1331124000000001,0.652704,2.438186,0.258468,0.0,0.93498
R-040,1.287,0.923,0.0273912,0.008227,0.0,0.723199,0.015324,0.0,0.029034,3.3854376000000004,1.0326046,0.795667,0.288738,0.146586,0.0,0.734875,0.19844,0.054708400000000004,0.071867,1.53697,0.030741,0.0,0.07241,0.309226,0.086379,0.027066,0.144325,0.069947,0.0,0.152684,3.9204948,1.1819190000000002,0.8946,2.693232,0.262598,0.0,0.989003
R-041,1.387,0.967,0.029894,0.007980800000000001,0.0,0.736882,0.014369,0.0,0.026494,4.3815964,1.1817970000000002,0.71655,0.347901,0.133882,0.0,0.708707,0.19119440000000001,0.054938200000000006,0.079564,1.483777,0.02556,0.0,0.074012,0.28359480000000004,0.08292240000000001,0.031502,0.155545,0.068753,0.0,0.152375,4.886279600000001,1.3276384,0.827616,2.724105,0.242564,0.0,0.961588
R-042,1.137,0.918,0.0233964,0.007729800000000001,0.0,0.583872,0.012985,0.0,0.02269,2.6932164000000003,0.8494002,0.565417,0.307464,0.125292,0.0,0.654212,0.12539560000000002,0.04346800000000001,0.070333,1.374588,0.02523,0.0,0.062383,0.2719048,0.078103,0.027271,0.121141,0.064056,0.0,0.121752,3.1139132000000003,0.978701,0.663021,2.387065,0.227563,0.0,0.861037
R-043,1.083,0.99,0.019925200000000004,0.007077600000000001,0.0,0.560352,0.010213,0.0,0.021745,2.3567932,0.8869544,0.64349,0.236621,0.101871,0.0,0.470977,0.13751359999999999,0.0404554,0.053933,1.139122,0.021268,0.0,0.063057,0.2437948,0.0660712,0.021267,0.109521,0.052798,0.0,0.10248,2.7580268,1.0005586,0.71869,2.045616,0.18615,0.0,0.658259
R-044,1.368,0.959,0.026873599999999997,0.0088456,0.0,0.736894,0.014928,0.0,0.031173,4.0060536,1.1549956000000001,0.722613,0.277953,0.150685,0.0,0.718364,0.1929276,0.05225640000000001,0.076163,1.484434,0.028857,0.0,0.070669,0.31423920000000005,0.0787264,0.029551,0.147297,0.064431,0.0,0.15276,4.540094,1.2948240000000002,0.828327,2.646578,0.258901,0.0,0.972966
R-045,1.354,0.935,0.028776800000000005,0.0092522,0.0,0.693337,0.013506,0.0,0.027595,3.3301404,1.0914056,0.596182,0.253009,0.130641,0.0,0.851065,0.1836228,0.0547928,0.076855,1.68823,0.027555,0.0,0.075048,0.3171696,0.0942188,0.031907,0.150835,0.074675,0.0,0.157421,3.8597096000000004,1.2496694000000002,0.704944,2.785411,0.246377,0.0,1.111129
R-046,1.264,0.864,0.030125200000000005,0.0092422,0.0,0.799608,0.015087,0.0,0.032023,3.1637352,1.1601024000000002,0.800926,0.344692,0.155508,0.0,0.91639,0.19661640000000002,0.0574924,0.076814,1.633451,0.029022,0.0,0.07596,0.29880680000000004,0.10161420000000002,0.030155,0.146416,0.083258,0.0,0.146449,3.6892836000000004,1.3284512,0.907895,2.924167,0.282875,0.0,1.170822
R-047,1.348,0.905,0.030974400000000003,0.009167,0.0,0.87986,0.017263,0.0,0.030681,3.5628880000000005,0.9295904,0.692343,0.293909,0.14945,0.0,0.663846,0.20945480000000002,0.0614624,0.068796,1.729705,0.029893,0.0,0.085556,0.3035196,0.09753,0.034818,0.154283,0.078818,0.0,0.153657,4.1068368,1.0977498,0.795957,3.057757,0.275424,0.0,0.93374
R-048,1.394,0.909,0.030524800000000005,0.009463800000000001,0.0,0.809477,0.017517,0.0,0.029587,3.7132824,1.3742492000000002,0.848125,0.336987,0.140626,0.0,0.879373,0.194664,0.0571762,0.071913,1.508659,0.036716,0.0,0.072049,0.3176004,0.09060420000000001,0.031145,0.150624,0.085627,0.0,0.169176,4.2560716,1.5314934,0.951183,2.805747,0.280486,0.0,1.150185
R-049,1.078,0.968,0.022102800000000002,0.006564,0.0,0.547102,0.012005,0.0,0.022444,2.9913036,0.830543,0.450046,0.202018,0.117594,0.0,0.547318,0.1375384,0.042180800000000004,0.058517,1.045626,0.021135,0.0,0.058049,0.23307600000000003,0.0656882,0.022777,0.118819,0.054716,0.0,0.118789,3.3840208,0.944976,0.53134,1.913565,0.20545,0.0,0.7466
R-050,1.047,0.987,0.0207276,0.0061506,0.0,0.51659,0.010701,0.0,0.019969,2.7973064,0.7718600000000001,0.517017,0.207268,0.087108,0.0,0.401736,0.129194,0.0383414,0.055116,1.058128,0.02155,0.0,0.052257,0.19971680000000003,0.061243000000000006,0.021852,0.101577,0.051077,0.0,0.100443,3.1469448,0.877595,0.593985,1.883563,0.170436,0.0,0.574405
R-051,1.238,0.992,0.0244228,0.008538800000000001,0.0,0.630878,0.012572,0.0,0.026282,3.0007844,0.7821874000000001,0.583895,0.257067,0.134148,0.0,0.567859,0.1551616,0.041609200000000006,0.060041,1.311919,0.023987,0.0,0.062983,0.23321360000000002,0.0716822,0.024886,0.118189,0.065964,0.0,0.128168,3.4135824,0.9040176000000001,0.668822,2.318053,0.236671,0.0,0.785292
R-052,1.393,0.95,0.033038000000000005,0.0093304,0.0,0.726606,0.015446,0.0,0.030866,3.6418196000000003,1.091162,0.762168,0.288133,0.136109,0.0,0.718334,0.18904920000000003,0.05299620000000001,0.073016,1.554812,0.029053,0.0,0.077994,0.27713160000000003,0.0890452,0.029507,0.138234,0.077585,0.0,0.144915,4.1410384,1.2425338000000001,0.864691,2.707785,0.258193,0.0,0.972109
R-053,1.208,0.999,0.024229600000000004,0.007559000000000001,0.0,0.563378,0.012213,0.0,0.025907,2.8632380000000004,0.8676506,0.581288,0.233869,0.088295,0.0,0.549938,0.14104239999999998,0.051101200000000006,0.058806,1.288645,0.023481,0.0,0.058325,0.2549484,0.0711824,0.024461,0.1237,0.061391,0.0,0.121968,3.2834584,0.9974932000000001,0.664555,2.209592,0.18538,0.0,0.756138
R-054,1.299,0.949,0.029351600000000002,0.007621,0.0,0.704604,0.013136,0.0,0.025767,3.9408932,0.8382828,0.706879,0.199301,0.150686,0.0,0.720228,0.15004800000000001,0.048407000000000006,0.074255,1.411777,0.026935,0.0,0.068727,0.3041088,0.0877996,0.030615,0.134896,0.081832,0.0,0.123945,4.4244016,0.9821104,0.811749,2.450578,0.272589,0.0,0.938667
R-055,1.221,0.963,0.024306400000000002,0.0088994,0.0,0.645963,0.013366,0.0,0.026842,2.8378908000000003,0.844369,0.742893,0.296525,0.129569,0.0,0.518804,0.152648,0.047813,0.064933,1.236504,0.027968,0.0,0.065141,0.24995520000000002,0.07301980000000001,0.025448,0.116596,0.070554,0.0,0.129985,3.2648004000000004,0.9741012,0.833274,2.295588,0.241457,0.0,0.740772
R-056,1.225,0.897,0.029980000000000003,0.009580400000000001,0.0,0.722454,0.013883,0.0,0.029058,3.1504108,0.9246274,0.71009,0.273311,0.152553,0.0,0.648047,0.171496,0.048479,0.069645,1.317316,0.027126,0.0,0.076653,0.2815096,0.09205940000000001,0.028193,0.135822,0.076959,0.0,0.168401,3.6333964000000005,1.0747462,0.807928,2.448903,0.270521,0.0,0.922159
R-057,1.188,0.935,0.028143200000000004,0.0083362,0.0,0.689761,0.0136,0.0,0.025082,2.8075824000000003,1.1282608,0.80959,0.297325,0.161423,0.0,0.681025,0.15732040000000003,0.0467174,0.069147,1.166019,0.023467,0.0,0.062418,0.23008920000000002,0.08609520000000001,0.03022,0.140881,0.064953,0.0,0.13246,3.2231352,1.2694096000000001,0.908957,2.293986,0.263443,0.0,0.900985
R-058,1.107,0.918,0.024451600000000004,0.007662800000000001,0.0,0.644561,0.013011,0.0,0.024575,2.5105684000000004,0.938539,0.591117,0.237354,0.145942,0.0,0.723224,0.16101920000000003,0.04583380000000001,0.065193,1.253645,0.025001,0.0,0.063559,0.25464400000000004,0.0729686,0.025266,0.119591,0.060718,0.0,0.124455,2.9506832000000003,1.0650042,0.681576,2.255151,0.244672,0.0,0.935813
R-059,1.064,0.876,0.0250644,0.0072408,0.0,0.638599,0.012511,0.0,0.025576,3.0283276000000003,1.023277,0.708513,0.273517,0.124588,0.0,0.729782,0.16773280000000002,0.050639,0.056954,1.328853,0.024054,0.0,0.067902,0.24248880000000003,0.0792284,0.025614,0.128606,0.061696,0.0,0.124633,3.4636136000000004,1.1603852000000001,0.791081,2.369575,0.222849,0.0,0.947893
R-060,1.05,0.913,0.0232836,0.0068716,0.0,0.540171,0.012512,0.0,0.023838,2.8061288,0.9473776000000002,0.69384,0.229783,0.105599,0.0,0.636714,0.1498128,0.040148800000000005,0.060483,1.124372,0.024482,0.0,0.06348,0.24856840000000002,0.0727948,0.02509,0.123728,0.060651,0.0,0.123126,3.2277936,1.0671928,0.779413,2.018054,0.203244,0.0,0.847158
R-061,1.255,0.972,0.0270804,0.0075934,0.0,0.628896,0.011783,0.0,0.028862,2.6130628000000002,1.0976682,0.673074,0.209124,0.121397,0.0,0.72408,0.15623520000000002,0.045540000000000004,0.070822,1.40217,0.025501,0.0,0.065587,0.2623568,0.07686180000000001,0.028668,0.138104,0.062411,0.0,0.125076,3.0587352,1.2276634,0.772564,2.378294,0.221092,0.0,0.943605
R-062,1.293,0.957,0.024959600000000002,0.009252000000000002,0.0,0.718351,0.014837,0.0,0.027697,3.5231796000000006,0.8392904,0.659081,0.276155,0.150914,0.0,0.693939,0.17080360000000003,0.0516884,0.06876,1.302843,0.024548,0.0,0.071074,0.2567876,0.07737300000000001,0.028792,0.146385,0.073927,0.0,0.136732,3.9757303999999998,0.9776038,0.756633,2.443734,0.264226,0.0,0.929442
R-063,1.112,0.951,0.022483600000000003,0.007099800000000001,0.0,0.641175,0.012074,0.0,0.022703,2.9421428,0.8844108,0.560549,0.235573,0.116045,0.0,0.613622,0.1452408,0.043990400000000006,0.062802,1.207812,0.024521,0.0,0.054152,0.2344852,0.0750596,0.023348,0.117705,0.058857,0.0,0.115285,3.3443524,1.0105606,0.646699,2.202265,0.211497,0.0,0.805762
