Sample_ID,Energy_Type,Thickness_mm,Length_m,Width_m,Number_of_Sheets,Total_Weight_kg,Casting_Electricity_kWh,Casting_Carbon_kgCO2e,Casting_NaturalGas_Nm3,Casting_WasteWater_L,HotRolling_Electricity_kWh,HotRolling_Carbon_kgCO2e,HotRolling_NaturalGas_Nm3,HotRolling_WasteWater_L,ColdRolling_Electricity_kWh,ColdRolling_Carbon_kgCO2e,ColdRolling_NaturalGas_Nm3,ColdRolling_WasteWater_L,HeatTreatment_Electricity_kWh,HeatTreatment_Carbon_kgCO2e,HeatTreatment_NaturalGas_Nm3,HeatTreatment_WasteWater_L,Finishing_Electricity_kWh,Finishing_Carbon_kgCO2e,Finishing_NaturalGas_Nm3,Finishing_WasteWater_L,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,manufacturing_cost_per_unit,Quality_Score,Transport_Cost
REN-011,Renewable,8.19,5.05,2.67,45,13405.33,40368.036,1212.2653,3480.815,66354.93,30716.661,1103.2151,1863.348,40403.47,14248.633,311.7549,733.229,14368.97,21079.591,650.3664,5173.953,37166.27,6907.098,143.3013,575.143,13945.38,113320.018,3420.903,11826.487,172239.01,38727.22,90.2,3043
REN-012,Renewable,2.55,4.11,0.71,3,60.63,183.797,5.6633,13.793,313.97,150.555,4.5657,4.99,265.91,60,1.7268,1.498,63.71,119.452,4.3862,30.849,135.02,35.57,0.8227,1.213,80.27,549.375,17.1647,52.343,858.87,200.1,91.6,10.79
REN-013,Renewable,9.57,4.69,1.89,30,6856.35,20017.786,499.5362,1173.769,36157.2,12410.502,277.0204,374.358,14550.44,9590.809,326.7892,332.193,8197.91,10924.165,321.929,2413.163,15780.26,4794.316,154.9379,242.74,3894.1,57737.577,1580.2127,4536.223,78579.91,20995.7,91.3,1373.42
REN-014,Renewable,8.64,4.29,0.91,4,363.37,1141.852,23.4425,78.907,2115.05,800.437,22.2228,41.543,1226.28,429.475,16.6762,15.685,1061.9,699.22,16.7224,116.571,473.23,184.994,4.0493,13.561,220.49,3255.978,83.1133,266.268,5096.93,1098.56,93.4,55.35
REN-015,Renewable,8.24,2.41,0.8,35,1491.77,4667.675,175.2686,368.489,8071.16,2979.705,70.1685,186.563,6594.39,2227.746,62.9391,63.133,3808.24,2196.85,84.8317,831.699,3411.66,1305.952,45.827,21.071,2765.49,13377.928,439.0348,1470.957,24650.94,4704.57,93.3,271.51
REN-016,Renewable,9.01,2.95,0.53,45,1699.42,4403.69,116.197,492.854,9944.72,3741.119,122.0979,161.181,4893.71,1750.516,58.5554,110.705,4389.88,3112.822,67.9346,761.895,1992.87,1316.652,37.9599,77.338,1744.24,14324.799,402.7448,1603.972,22965.42,4897.64,86.4,384.33
REN-017,Renewable,6.37,1.51,0.71,35,644.04,1656.973,60.3755,155.375,2089.31,1197.527,47.5811,56.307,2004.22,881.671,34.3366,50.983,1614.46,966.715,20.9487,343.368,1722.96,458.631,17.4863,9.305,797.93,5161.517,180.7282,615.338,8228.88,1808.44,89.7,100.23
REN-018,Renewable,1.63,1.59,2.12,37,548.44,1691.047,66.3625,95.963,2115.41,1320.657,32.319,80.249,1116.88,811.098,16.9221,40.293,1127.27,1093.796,23.4903,255.659,2143.26,417.665,13.6109,20.748,648.15,5334.264,152.7048,492.912,7150.97,1776.56,90.8,131.69
REN-019,Renewable,0.93,2.4,2.88,44,765.57,2262.771,73.3198,119.028,2728.78,1626.528,44.0253,82.962,1709.68,1134.637,45.0726,47.381,1586.41,1108.26,40.2031,386.935,1139.06,731.477,26.6629,36.741,1216.17,6863.673,229.2837,673.048,8380.11,2472.33,89.2,186.24
REN-020,Renewable,8.73,1.23,0.57,19,310.66,1028.466,40.8769,40.412,1485.71,642.023,25.2946,41.695,1402.64,350.454,9.9166,11.309,345.69,587.705,21.309,186.371,1239.52,241.607,8.548,14.847,551.26,2850.255,105.9451,294.634,5024.82,923.64,89.5,50.61
REN-021,Renewable,9.56,4.03,1.07,33,3680.68,11476.845,311.7485,451.662,18457.6,7965.793,282.3584,375.49,16771.2,4366.524,136.3175,267.215,6650.87,4811.435,98.9984,1938.032,10530.17,3136.09,76.0793,56.884,1920.64,31756.687,905.5021,3089.283,54330.49,11209.2,90.9,696.48
REN-022,Renewable,4.66,5.52,1.37,26,2473.29,8121.438,226.8387,555.05,13818.52,6095.839,139.8475,352.837,8598.03,2425.735,70.7895,194.9,4910.07,3618.432,118.207,920.173,3036.19,1396.025,31.4956,39.761,1751.69,21657.468,587.1783,2062.721,32114.5,8034.77,86.8,456.49
REN-023,Renewable,9.02,3.37,2.17,9,1601.89,4312.742,89.78,214.312,6144.47,3081.882,67.1051,99.419,5418.12,1512.876,41.2794,80.423,3813.76,1972.643,70.9919,782.314,1994.79,1500.63,57.6504,19.932,1466.23,12380.773,326.8067,1196.399,18837.37,5389.29,92.5,269.84
REN-024,Renewable,2.49,2.85,1.71,31,1016.84,2917.216,85.3306,253.695,3162.41,2009.987,68.8762,141.87,3594.55,1192.22,26.3999,47.633,2100.01,1417.446,35.9817,420.142,1078.06,672.169,16.286,23.489,691.09,8209.038,232.8743,886.829,10626.12,3481.01,90.9,221.58
REN-025,Renewable,8,3.49,0.72,27,1460.37,4507.934,157.3665,272.114,4940.06,2918.761,79.5702,167.346,5421.39,1532.32,60.8796,82.287,2153.25,1871.358,43.1482,545.868,2164.33,866.414,22.2685,24.731,2694.6,11696.787,363.233,1092.347,17373.63,4171.06,90.2,278.99
REN-026,Renewable,9.83,1.56,1.49,48,2971.59,10000.894,363.4469,450.435,10438.18,6739.706,260.0685,314.026,11038.96,2959.656,104.7418,92.781,4895.27,4577.28,138.0151,1107.578,3995.33,2393.048,61.6751,98.804,2173.85,26670.584,927.9474,2063.624,32541.58,9321.26,90.3,461.14
REN-027,Renewable,3.7,1.67,0.66,49,538.6,1520.119,55.0245,81.29,2716.97,1256.1,40.0857,52.329,1742.65,562.41,21.7037,37.614,1578.13,699.877,24.2279,313.197,831.44,287.207,10.0013,17.762,949.41,4325.714,151.043,502.193,7818.6,1560.78,93,91.65
REN-028,Renewable,2.05,1.82,2.54,33,845.76,2556.777,69.4845,232.955,3533.01,2005.812,57.7327,74.168,2865.46,855.03,29.8852,42.426,1238.55,1623.564,44.9367,391.641,3145.72,686.855,15.3429,40.252,1219.21,7728.037,217.382,781.442,12001.94,2566.39,86.4,194.02
REN-029,Renewable,6.39,3.67,2.73,39,6748.98,17896.094,469.494,1010.307,35309.56,12306.576,386.3993,852.031,31249.77,7015.273,255.5324,179.779,18174.35,8787.107,245.5623,3638.972,9784.35,4148.095,142.8813,261.87,9865.13,50153.146,1499.8693,5942.958,104383.15,22175.55,90.4,1182.29
REN-030,Renewable,3.78,1.91,2.77,29,1566.6,4544.471,132.8809,453.463,5420.52,3462.749,104.2903,174.12,3218.31,2209.667,85.3868,84.452,3749.34,3036.068,103.6659,541.67,4275.04,1258.539,35.8465,61.815,2978.97,14511.494,462.0703,1315.519,19642.18,5401.47,89.5,252.73
REN-031,Renewable,9.86,5.19,0.81,46,5161.04,17392.171,528.3178,1126.423,21660.93,9487.711,253.3593,672.408,10393.8,5333.674,149.1475,269.632,14655.86,7623.253,205.3633,2690.194,12162.79,3160.117,91.7976,80.689,3946.03,42996.926,1227.9855,4839.346,62819.41,16251.38,89.2,1246.31
REN-032,Renewable,3.94,3.9,2.08,1,86.45,273.482,6.4434,25.261,297.9,180.697,3.9224,12.94,303.14,105.187,2.2449,5.619,122.74,165.846,3.9973,30.88,95.93,63.629,1.9914,1.092,143.79,788.841,18.5994,75.792,963.49,269.48,90.2,16.78
REN-033,Renewable,4.31,3.8,0.89,9,353.06,1186.906,46.1971,61.666,1345.94,794.664,22.3894,18.549,871.51,459.393,15.2419,7.635,509.8,488.936,16.349,108.005,463.33,317.738,7.4894,12.749,302.67,3247.637,107.6668,208.604,3493.24,1013.14,87.4,78.46
REN-034,Renewable,8.63,5.15,1.49,33,5912.78,15993.98,413.6516,1651.246,17968.98,10996.921,265.6606,311.327,15043.93,7143.403,203.0762,434.946,15579.51,8712.21,219.4472,2447.346,16383.63,3748.891,121.7752,155.958,7852.59,46595.404,1223.6107,5000.822,72828.64,18360.89,87.9,1447.72
REN-035,Renewable,7.75,1.7,2.67,24,2282.5,7748.053,278.9075,422.359,7001.35,4537.772,139.9117,258.716,6330.88,2048.653,75.1827,180.464,4682.27,3052.481,77.6739,697.342,8543.15,1275.631,40.2211,47.846,3038.61,18662.59,611.8968,1606.727,29596.25,7431.79,93.3,389.49
REN-036,Renewable,0.6,1.68,2.75,43,325.08,1006.912,32.2316,75.746,1146.28,793.228,22.5082,28.709,1156.24,270.753,6.3155,20.897,378.91,546.957,13.6231,135.49,606.63,220.352,7.5759,7.114,438.73,2838.203,82.2542,267.957,3726.79,1018.56,91.6,79.22
REN-037,Renewable,7.46,2.07,0.58,13,313.95,971.71,20.4336,62.562,1504,638.572,22.6171,19.044,698.68,411.195,12.2988,19.247,586.98,438.631,15.9583,169.48,968.26,199.697,6.3513,7.673,200.11,2659.804,77.659,278.006,3958.03,1080.66,86.4,76.93
REN-038,Renewable,4.74,1.93,1.85,43,1964.3,6349.051,229.399,455.239,9972.4,4703.386,117.5534,194.352,5232.16,2929.489,113.902,43.933,4736.22,3811.127,89.9865,923.973,7359.17,1015.489,34.4742,43.006,3705.83,18808.542,585.3151,1660.504,31005.78,6835.25,94.4,387.79
REN-039,Renewable,8.69,5.22,1.3,41,6519.71,16540.547,528.0635,951.889,21917.3,12086.672,410.0497,547.574,27215.22,5514.039,145.0512,341.434,16830.27,9486.187,308.4702,3688.807,18565.45,4019.267,82.3468,292.109,3467.86,47646.712,1473.9815,5821.812,87996.1,22247.14,90.3,1590.2
REN-040,Renewable,8.09,5.99,1.38,38,6843.52,19859.421,587.7895,1543.221,38467.64,17032.551,602.3641,628.075,22337.73,9008.177,223.1825,182.232,11697.25,9784.804,253.6824,2532.666,7707.72,3482.92,138.4616,185.534,7366.98,59167.873,1805.48,5071.729,87577.31,22417.68,87.2,1676.64
REN-041,Renewable,7.97,1.45,1.54,44,2115.48,7287.258,213.8667,471.08,7406.51,5275.62,129.9566,305.207,8353.9,2592.341,78.4281,71.588,2862.36,2911.722,69.0916,1129.402,4337.53,1118.922,44.0654,95.94,4001.7,19185.863,535.4084,2073.217,26962,7396.64,86.7,401.15
REN-042,Renewable,7.7,4.48,0.88,40,3297.63,8984.202,219.9005,683.912,15758.79,7274.775,158.8064,454.236,9222.82,2937.07,110.9477,255.036,8983.59,6092.747,201.6994,1534.247,4158.18,2322.28,63.7553,67.239,5227.18,27611.075,755.1094,2994.67,43350.56,10378.02,85.8,567.25
REN-043,Renewable,6.99,1.38,2.63,25,1712.2,5103.35,162.5323,453.623,6923.14,3894.582,121.9574,131.33,7937.56,2325.502,77.1347,121.626,4682.15,3024.921,111.1364,871.921,5205.8,1385.691,48.5745,27.984,3118.43,15734.047,521.3353,1606.485,27867.09,5839.09,85.3,398.23
REN-044,Renewable,1.72,2.68,2.36,8,235.05,779.894,28.5774,47.361,709.66,470.321,15.2095,34.816,915.63,230.788,7.5422,12.317,601.66,302.179,10.6429,108.683,914.11,157.705,5.1494,11.114,153.67,1940.887,67.1214,214.29,3294.73,812.35,91.9,36.85
REN-045,Renewable,3.36,4.54,0.67,29,798.27,2271.789,73.6476,87.13,4481.99,1980.866,78.0017,99.756,1908.08,1062.328,21.7689,17.025,1314.93,1269.983,44.9677,403.118,1866.13,508.35,20.3048,21.591,939.63,7093.317,238.6907,628.621,10510.75,2326.59,92.9,175.12
REN-046,Renewable,2.6,1.41,2.2,33,719.24,1994.65,77.8258,93.654,3090.59,1769.722,50.2505,81.888,2296.39,713.455,28.3096,32.05,2005.4,995.408,24.1507,222.491,2125.37,492.152,18.351,20.807,1404.17,5965.387,198.8875,450.889,10921.92,2107.29,93.7,163.74
REN-047,Renewable,7.82,5.22,2.4,31,8218.85,21625.818,446.5845,2335.548,39861.04,19376.574,574.1366,507.357,19524.36,10519.276,300.9157,263.262,16299.54,10284.804,325.4053,3128.902,27883.92,5384.837,156.7225,86.009,5002.57,67191.309,1803.7645,6321.077,108571.43,25270.88,89.8,1725.98
REN-048,Renewable,3.27,4.47,2.65,39,4084.72,10373.622,307.1644,494.194,15220.2,10173.655,232.4671,408.017,15744.41,5276.332,164.5845,84.089,6751.72,6593.424,143.4553,1655.078,4491.59,2202.844,61.5441,62.531,5519.72,34619.877,909.2154,2703.91,47727.64,13408.59,93,694.46
REN-049,Renewable,2.09,1.52,2.09,35,629.26,1593.015,61.6883,69.466,2909.61,1444.987,54.0705,76.397,2771.99,652.925,23.6989,15.61,1755.39,1030.767,37.4642,274.164,1844.18,480.249,16.6319,8.347,371.59,5201.943,193.5538,443.984,9652.76,1870.76,86.6,149.25
REN-050,Renewable,2.58,5.88,1.34,9,495.23,1629.168,54.0463,98.868,2310.8,1140.74,28.027,74.103,2438.72,621.631,14.9134,30.117,566.74,606.424,15.2538,217.302,1785.23,427.676,14.9063,13.381,504.59,4425.638,127.1467,433.771,7606.08,1515.28,94.9,76.27
REN-051,Renewable,8.74,3.89,1.6,36,5278.67,15765.639,590.7143,1478.769,22514.39,10524.503,335.1739,745.54,13893.39,6524.84,212.9134,337.765,6667.67,9357.287,357.2673,1868.147,9040.41,5203.172,122.8965,233.187,6537.19,47375.441,1618.9654,4663.408,58653.05,15693.81,93.7,1026.86
REN-052,Renewable,5.39,2.8,1.98,9,726.12,2099.261,82.6862,110.099,3608.95,1472.297,52.2216,45.809,3564.84,811.546,20.0622,17.724,972.64,1173.272,31.3734,398.394,1664.74,453.356,14.6628,27.789,545,6009.731,201.0062,599.815,10356.17,2118.32,85.4,162.39
REN-053,Renewable,6.81,3.37,2.61,40,6472.51,19969.974,746.1866,913.712,21590.72,12872.68,272.1508,667.425,31131.57,5356.261,120.2063,305.062,18561.53,9404.065,283.4827,2022.476,9352.96,6429.238,252.6843,66.004,12477.16,54032.217,1674.7106,3974.679,93113.94,21018.71,93.7,1265.21
REN-054,Renewable,5.4,3.44,2.17,7,761.54,1926.67,50.399,183.482,2745.77,1729.759,68.1494,45.228,3059.71,845.783,31.6009,23.325,1816.46,1424.45,55.4001,384.557,1897.39,616.026,23.0259,24.997,415.48,6542.687,228.5753,661.589,9934.81,2628.57,91.9,165.75
REN-055,Renewable,2.55,4.29,1.48,32,1404.11,3659.946,121.3525,421.069,4415.42,3487.843,98.1415,192.469,6103.89,1680.597,58.4326,102.094,2539.03,2052.286,68.4476,761.525,4615.11,1262.165,36.2389,59.974,955.24,12142.837,382.613,1537.131,18628.68,4466.68,85.1,256.19
REN-056,Renewable,3.98,2.98,2.24,20,1434.7,4230.477,104.708,250.57,5282.27,2655.961,85.1739,167.603,5535.73,1613.237,44.5184,103.011,2924.14,2271.618,46.5973,577.285,3071.09,1003.442,31.7122,44.969,2025.59,11774.736,312.71,1143.438,18838.82,4785.31,93.1,318.23
REN-057,Renewable,9.58,1.09,0.99,1,27.92,87.874,3.3357,4.151,161.4,51.432,1.9898,2.378,64.33,31.83,0.8001,1.036,45.08,51.438,1.5834,10.983,79.04,23.956,0.6097,0.741,19.06,246.53,8.3188,19.289,368.91,81.71,91.8,4.69
REN-058,Renewable,5.49,4.55,0.77,28,1447.04,3988.846,156.5963,284.645,7840.01,3162.003,65.9855,163.971,7024.22,1767.017,64.2907,105.709,2107.12,1981.913,63.8565,612.543,5092.97,1374.701,37.211,28.181,2417.69,12274.48,387.94,1195.049,24482,4330.06,93.2,278.37
REN-059,Renewable,6.84,1.48,2.06,23,1293.09,3991.27,93.2372,319.878,7226.31,2523.752,55.3062,67.711,5076.57,1583.994,48.9992,43.858,2304.05,2166.681,64.8603,771.117,1822.38,1095.989,30.7824,35.079,2038.43,11361.687,293.1853,1237.644,18467.73,4247.43,94.9,210.57
REN-060,Renewable,1.49,4.62,1.95,14,506.22,1305.742,28.3518,141.152,1810.02,1025.775,25.1655,43.281,1117.86,588.902,12.5744,34.433,742.83,826.148,31.0645,250.71,1315.59,335.199,8.9364,18.618,1007.98,4081.766,106.0925,488.195,5994.29,1651.93,90.6,112.92
REN-061,Renewable,4.92,1.3,1.91,47,1547.47,4139.964,139.9312,216.935,7129.96,2890.178,83.8366,194.388,4708.52,1958.234,70.3182,117.037,2273.68,2351.315,54.1939,924.996,5851.01,1191.523,43.8965,47.722,2221.21,12531.214,392.1764,1501.077,22184.39,4429.47,92.6,251.88
REN-062,Renewable,8.35,4.91,2.27,2,502.84,1409.537,35.6081,86.503,1640.74,1234.92,38.3764,40.505,1604.55,559.687,17.9166,25.615,1427.47,803.329,32.0072,279.293,817.39,485.394,10.8376,21.47,538.51,4492.867,134.7459,453.387,6028.66,1717,93.7,115.95
REN-063,Renewable,8.01,2.52,0.7,20,766.09,2048.151,69.4303,129.637,4540.46,1722.683,62.7911,48.457,3513.31,1107.707,32.9446,43.188,1937.91,1026.457,30.8464,321.449,1102.49,523.825,11.1907,8.452,538.37,6428.822,207.2031,551.183,11632.53,2661.52,90.5,188.9
REN-064,Renewable,4.61,2.56,1.77,22,1236.75,3222.569,105.7535,177.113,6009.1,2789.056,64.2612,69.425,5370.34,1387.466,29.3633,98.559,1379.68,2171.776,86.1621,459.769,1764.54,693.439,18.0748,17.366,1902.43,10264.307,303.6151,822.232,16426.08,3516.84,90.1,308.78
REN-065,Renewable,8.23,4.08,1.27,31,3554.85,10760.68,306.9125,448.416,20119.79,7517.973,179.6228,308.475,11526.21,4903.122,170.0025,235.183,3633.28,5449.313,161.4462,1086.923,6325.64,3128.784,71.1554,111.666,2924.94,31759.872,889.1394,2190.664,44529.86,9983.74,87.4,880.14
REN-066,Renewable,8.11,5.8,1.72,6,1310.65,3994.82,116.1995,352.397,4317.62,2807.118,64.5664,108.086,5520.57,1485.25,40.8708,57.234,2515.01,2395.893,90.6646,768.83,4404.73,862.022,29.1042,36.048,1156,11545.102,341.4055,1322.597,17913.92,4441.3,85.4,314.79
REN-067,Renewable,4.88,4.19,2.15,44,5218.04,16367.266,528.3136,591.363,23769.34,9940.982,345.436,528.181,21084.44,4326.647,93.8702,328.629,5970.32,6559.104,132.7705,3062.73,16763.08,3530.66,91.5525,125.171,8672.28,40724.658,1191.9428,4636.074,76259.46,17026.25,86.9,873.56
REN-068,Renewable,1.43,4.3,2.41,13,522.27,1316.605,28.4959,153.323,2029.7,1221.297,39.6839,46.061,1366.8,462.19,14.9289,34.719,1194.85,848.287,17.6775,308.423,1773.69,337.599,13.3687,17.796,717.4,4185.979,114.1549,560.322,7082.45,1735.83,93.1,112.63
REN-069,Renewable,1.72,2.69,2.82,12,422.22,1212.695,34.7335,79.328,2043.06,1038.733,25.775,26.241,1094.58,599.915,19.7469,15.687,1111.25,797.62,29.4563,243.064,741.73,370.51,10.8229,18.443,672.49,4019.472,120.5345,382.764,5663.1,1411.71,91.6,70.82
REN-070,Renewable,5.68,5.92,2.84,3,774.6,2064.167,46.7215,189.929,4224.17,1510.051,45.4783,103.851,3252.09,913.692,29.0618,39.119,1235.56,1279.653,43.2238,435.323,2253.21,682.083,15.8253,22.047,398.14,6449.646,180.3106,790.268,11363.18,2302.64,92.3,193.02
REN-071,Renewable,1.44,3.01,2.5,10,292.79,894.504,31.0048,65.35,1043.53,599.863,21.4006,30.867,590.18,390.202,8.0796,18.957,411.36,575.763,15.7522,116.554,423.57,191.135,7.1739,14.597,308.15,2651.468,83.4111,246.325,2776.8,911.76,92.2,69.87
REN-072,Renewable,6.13,2.96,1.53,35,2625.71,6572.715,212.902,449.255,14133.1,4897.187,155.5545,257.575,10311.09,2219.765,70.1439,140.972,5569.96,4418.512,148.1499,1421.811,4751.12,2396.022,71.7971,34.35,1543.46,20504.202,658.5473,2303.963,36308.73,7966.31,92.8,579.67
REN-073,Renewable,7.99,3.59,1.6,8,990.85,2802.314,80.3714,116.643,3628.33,2198.455,76.3156,148.464,4755.42,1238.36,35.2003,57.638,2547.77,1282.822,36.1731,546.89,2131.81,778.745,24.7293,17.22,1033.81,8300.695,252.7898,886.855,14097.15,3006.39,85.3,151.02
REN-074,Renewable,8.4,2.37,1.8,15,1444.78,4971.011,125.1996,268.629,8117.03,3452.081,81.8904,188.203,4875.48,1644.268,37.2749,35.883,3548.19,2307.552,66.3121,749.626,4762.76,837.181,26.961,22.27,2350.74,13212.093,337.638,1264.61,23654.21,4709.78,94.6,226.68
REN-075,Renewable,1.04,2.41,1.15,13,101.78,346.698,8.6643,15.714,537.23,215.252,7.6488,5.754,352.44,83.821,1.7815,7.571,130.13,165.492,4.6705,41.141,376.55,52.002,1.7304,4.94,136.41,863.265,24.4955,75.121,1532.76,351.74,85.5,19.53
REN-076,Renewable,2.97,4.65,2.95,13,1433.57,4521.721,108.3493,305.444,6295.94,3555.825,114.3928,121.782,3357.83,1298.629,31.8247,50.258,3872.4,2363.921,72.0235,479.429,5132.77,1234.885,26.369,54.925,1885.58,12974.981,352.9592,1011.839,20544.51,4096,89.6,284.52
REN-077,Renewable,2.07,5.73,2.62,33,2779.88,8234.815,232.5126,639.913,12888.33,5124.955,155.0302,363.164,9389.64,2325.004,83.0621,89.184,4217.74,3702.142,98.4929,1465.065,7111.36,1674.71,62.8964,125.604,5020.09,21061.626,631.9941,2682.93,38627.16,8248.33,89.5,690.8
REN-078,Renewable,7.83,1.14,0.66,23,366.37,1249.033,38.4378,73.114,1215.03,827.901,30.1704,32.256,1585.22,540.443,13.0114,18.831,576.77,672.025,21.2036,179.658,1243.36,255.72,9.7945,11.475,269.99,3545.122,112.6177,315.334,4890.37,1204.3,92.9,66.56
REN-079,Renewable,8.64,5.53,1.19,49,7540.28,19911.699,478.6835,1031.849,42843.63,17025.984,392.3142,709.03,28999.11,6472.762,243.6887,514.369,15159.08,14882.256,421.9896,4488.223,22649.19,6162.938,143.7142,341.402,8605.23,64455.638,1680.3901,7084.873,118256.22,21969.08,85.1,1553.11
REN-080,Renewable,5.51,4.6,2.73,4,745.63,2409.485,57.221,202.538,4069.02,1624.386,55.5619,60.72,2545.19,1025.343,29.925,30.92,1482.62,1388.801,37.0868,262.556,2338.31,680.748,14.9851,14.611,531.6,7128.764,194.7798,571.344,10966.75,2269.35,89.5,167.68
REN-081,Renewable,6.69,4.1,1.38,42,4297.56,12769.299,505.4356,974.81,14520.59,9769.758,258.9189,509.832,9492.99,3964.147,147.1283,144.53,11492.04,6117.243,200.9982,2184.216,10907.07,2804.829,68.0252,48.681,4108.13,35425.275,1180.5062,3862.07,50520.81,13998.09,94.4,1019.04
REN-082,Renewable,7.78,4.94,2.16,13,2917.6,9940.83,332.1693,618.788,9724.27,6164.709,180.0537,398.125,10619.9,3110.979,122.9957,77.734,5383.25,3599.208,125.2455,1678.854,5368.71,2710.948,70.0627,135.466,4758.44,25526.675,830.527,2908.968,35854.57,9813.16,85.2,718.55
REN-083,Renewable,7.4,2.52,2.57,14,1817.57,6130.21,136.407,437.556,8400.97,3394.443,84.3108,93.133,6191.19,1837.354,58.735,68.766,2907.82,3261.725,68.3751,1037.592,6464.71,1515.674,48.2961,83.049,1414.06,16139.407,396.1239,1720.096,25378.75,5189.66,87.4,417.06
REN-084,Renewable,0.83,3.91,2.99,42,1100.15,3324.041,70.7117,292.942,5277.34,2068.779,45.259,155.08,4408.96,1518.757,57.0742,59.745,2238.69,1699.007,44.75,473.481,3654.3,881.177,33.353,30.513,1551.91,9491.761,251.1479,1011.761,17131.2,3566.59,90.9,242.32
REN-085,Renewable,2.76,3.56,0.76,19,382.95,1144.129,37.8072,111.096,1838.91,888.643,26.7707,43.431,847.39,374.554,10.2018,18.516,417.91,502.439,12.8304,226.5,763.62,283.774,6.7884,13.185,352.71,3193.539,94.3984,412.728,4220.54,1127.75,90.2,57.65
